SKU,parent,cat,gross,units,deliv,days,is_mapped,base_gross,base_units,asp,cat_base,f_oct,f_nov,oct_gross,nov_gross,oct_units,nov_units,Sold_in_event,In_inventory_7Sep,In_projection_sheet
BLK-BLUE-DART-DESK-MAT-R2,Dart Desk Mat,Home Office,26785.0,15.0,14.0,14,True,13392.5,7.5,1785.6666666666667,15644036.0,0.8756404294244335,0.9428999195133757,11727.014451066727,12627.787172082884,7,8,True,True,True
BLK-CERO-LENS-PRTCTOR-AP-IPH15,Camera Lens,Accessories,7325.0,15.0,13.0,14,True,3662.5,7.5,488.3333333333333,41916483.0,0.7645721803750198,0.7441467195192246,2800.24561062351,2725.43736023916,6,6,True,True,True
BLK-CERO-LENS-PRTCTOR-AP-IPH15PLS,Camera Lens,Accessories,2194.0,6.0,6.0,5,True,1097.0,3.0,365.6666666666667,41916483.0,0.7645721803750198,0.7441467195192246,838.7356818713968,816.3289513125894,3,3,True,True,True
BLK-CERO-LENS-PRTCTOR-AP-IPH15PRO,Camera Lens,Accessories,1796.0,4.0,4.0,4,True,898.0,2.0,449.0,41916483.0,0.7645721803750198,0.7441467195192246,686.5858179767678,668.2437541282637,2,2,True,True,True
BLK-CERO-LENS-PRTCTOR-AP-IPH15PROMAX,Camera Lens,Accessories,2415.0,5.0,5.0,5,True,1207.5,2.5,483.0,41916483.0,0.7645721803750198,0.7441467195192246,923.2209078028365,898.5571638194638,2,2,True,True,True
BLK-CERO-LENS-PRTCTOR-AP-IPH16,Camera Lens,Accessories,13912.0,28.0,24.0,25,True,6956.0,14.0,496.85714285714283,41916483.0,0.7645721803750198,0.7441467195192246,5318.364086688638,5176.284580975726,11,11,True,True,True
BLK-CERO-LENS-PRTCTOR-AP-IPH16PLS,Camera Lens,Accessories,4390.0,10.0,10.0,9,True,2195.0,5.0,439.0,41916483.0,0.7645721803750198,0.7441467195192246,1678.2359359231687,1633.402049344698,4,4,True,True,True
BLK-CERO-LENS-PRTCTOR-AP-IPH16PRO,Camera Lens,Accessories,9820.0,20.0,20.0,14,True,4910.0,10.0,491.0,41916483.0,0.7645721803750198,0.7441467195192246,3754.049405641347,3653.760392839393,8,8,True,True,True
BLK-CERO-LENS-PRTCTOR-AP-IPH16PROMAX,Camera Lens,Accessories,7784.0,16.0,13.0,14,True,3892.0,8.0,486.5,41916483.0,0.7645721803750198,0.7441467195192246,2975.7149260195774,2896.2190323688224,7,6,True,True,True
BLK-CHRCL-RIM-SNPON-AP-WTHSTRP-42,Watchband - Rim Snap On,Accessories,1499.0,1.0,0.0,1,True,749.5,0.5,1499.0,41916483.0,0.7645721803750198,0.7441467195192246,573.0468491910774,557.7379662796588,1,1,True,True,False
BLK-CHRCL-RIM-SNPON-UNVRSAL-WTHBAND-20,Watchband - Rim Snap On,Accessories,116421.0,79.0,58.0,47,True,58210.5,39.5,1473.6835443037974,41916483.0,0.7645721803750198,0.7441467195192246,44506.12890572009,43317.152616573825,31,30,True,True,True
BLK-CHRCL-RIM-SNPON-UNVRSAL-WTHBAND-22,Watchband - Rim Snap On,Accessories,34975.0,25.0,15.0,21,True,17487.5,12.5,1399.0,41916483.0,0.7645721803750198,0.7441467195192246,13370.45600430816,13013.26575759244,10,10,True,True,True
BLK-COAST-ARPD-SOCK-CAS-COVR,Coast Airpods,Cases And Sleeves,1398.0,2.0,1.0,2,True,699.0,1.0,699.0,34345120.5,1.2883232034218228,1.0714423217936824,900.5379191918541,748.938182933784,2,2,True,True,True
BLK-CONVY-ADPTR-CASE-MC-P13-2020,Convoy Adapter,Home Office,54945.0,55.0,26.0,36,True,27472.5,27.5,999.0,15644036.0,0.8756404294244335,0.9428999195133757,24056.03169736275,25903.818038831214,25,26,True,False,True
BLK-CONVY-ADPTR-CASE-MC-P16-2021,Convoy Adapter,Home Office,12787.0,13.0,11.0,10,True,6393.5,6.5,983.6153846153846,15644036.0,0.8756404294244335,0.9428999195133757,5598.407085525116,6028.430635408768,6,7,True,True,True
BLK-CROSBODY-PHN-LNYRD-STRP,Phone Lanyard,Accessories,23980.0,20.0,17.0,19,True,11990.0,10.0,1199.0,41916483.0,0.7645721803750198,0.7441467195192246,9167.220442696487,8922.319167035503,8,8,True,True,True
BLK-CROSBODY-UTILITY-PHN-LNYARD-STRP,Phone Lanyard,Accessories,43455.0,45.0,36.0,32,True,21727.5,22.5,965.6666666666666,41916483.0,0.7645721803750198,0.7441467195192246,16612.242049098244,16168.447848353953,18,17,True,True,True
BLK-DOB-SOL-BOX-SHLDR-BAG,Sol Box,Bags and Backpacks,72561.0,39.0,35.0,31,True,36280.5,19.5,1860.5384615384614,27770135.0,1.0061452901129435,1.097196189868784,36503.45419794265,39806.82636653442,20,22,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH13MINI,Enamel,Cases And Sleeves,19480.0,20.0,15.0,16,True,9740.0,10.0,974.0,34345120.5,1.2883232034218228,1.0714423217936824,12548.268001328554,10435.848214270467,13,11,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH13PRO,Enamel,Cases And Sleeves,40166.0,34.0,25.0,26,True,20083.0,17.0,1181.3529411764705,34345120.5,1.2883232034218228,1.0714423217936824,25873.394894320467,21517.776148582525,22,19,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH13PROMAX,Enamel,Cases And Sleeves,23974.0,26.0,23.0,17,True,11987.0,13.0,922.0769230769231,34345120.5,1.2883232034218228,1.0714423217936824,15443.13023941739,12843.37911134087,17,14,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH14,Enamel,Cases And Sleeves,66236.0,64.0,49.0,37,True,33118.0,32.0,1034.9375,34345120.5,1.2883232034218228,1.0714423217936824,42666.687850923925,35484.026813163175,42,35,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH14PLS,Enamel,Cases And Sleeves,22979.0,21.0,15.0,18,True,11489.5,10.5,1094.2380952380952,34345120.5,1.2883232034218228,1.0714423217936824,14802.189445715034,12310.336556248514,14,12,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH14PRO,Enamel,Cases And Sleeves,39460.0,40.0,33.0,18,True,19730.0,20.0,986.5,34345120.5,1.2883232034218228,1.0714423217936824,25418.616803512563,21139.55700898935,26,22,False,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH14PROMAX,Enamel,Cases And Sleeves,49654.0,46.0,39.0,25,True,24827.0,23.0,1079.4347826086957,34345120.5,1.2883232034218228,1.0714423217936824,31985.200171353594,26600.69852317175,30,25,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH15,Enamel,Cases And Sleeves,66742.0,58.0,37.0,41,True,33371.0,29.0,1150.7241379310344,34345120.5,1.2883232034218228,1.0714423217936824,42992.63362138965,35755.101720576975,38,32,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH15PLS,Enamel,Cases And Sleeves,36417.0,33.0,26.0,26,True,18208.5,16.5,1103.5454545454545,34345120.5,1.2883232034218228,1.0714423217936824,23458.43304950626,19509.357516380267,22,18,True,True,True
